CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;4.01;Lucro ou Prejuízo Líquido do Período;0.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;4.01;Lucro ou Prejuízo Líquido do Período;18151787.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;4.02;Outros Resultados Abrangentes Próprios;0.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;4.02;Outros Resultados Abrangentes Próprios;1503458.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;4.02.01;Valores que serão Reclassificados para o Resultado;0.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;4.02.01;Valores que serão Reclassificados para o Resultado;1871046.0000000000;S
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;4.02.01.01;Ganhos/perdas ñ realizados s/ ativos financeiros disponíveis p/ venda;0.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;4.02.01.01;Ganhos/perdas ñ realizados s/ ativos financeiros disponíveis p/ venda;6944636.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;4.02.01.02;Ganhos/perdas realizados s/ ativos financeiros disponíveis / venda;0.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;4.02.01.02;Ganhos/perdas realizados s/ ativos financeiros disponíveis / venda;-196227.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;4.02.01.03;Efeito tributário s/ ativos financeiros disponíveis para venda;0.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;4.02.01.03;Efeito tributário s/ ativos financeiros disponíveis para venda;-2965470.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;4.02.01.04;Ajustes de conversão de investimentos no exterior;0.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;4.02.01.04;Ajustes de conversão de investimentos no exterior;-2118593.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;4.02.01.05;Ganhos/(perdas) não realizados sobre hedge investimento líquido no exterior;0.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2025-01-01;2025-12-31;4.02.01.05;Ganhos/(perdas) não realizados sobre hedge investimento líquido no exterior;206700.0000000000;N
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2024-01-01;2024-12-31;4.02.02;Valores que não serão Reclassificados o para o Resultado;0.0000000000;S
