CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;5730834040;0;5730834040;22370399;0;22370399
00.001.180/0001-26;2025-12-31;1;AXIA ENERGIA S.A.;2028544;886884;2915428;52799;23181;75980
00.070.698/0001-11;2025-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.194.724/0001-13;2025-12-31;1;AUREN OPERAÇÕES S.A.;2804265;0;2804265;0;0;0
00.242.184/0001-04;2025-12-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;346494097;0;346494097;93898;0;93898
00.336.701/0001-04;2025-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;83575912;18407491;101983403;193;0;193
00.357.038/0001-16;2025-12-31;1;AXIA ENERGIA NORTE S.A.;168044751;0;168044751;10713;0;10713
00.383.281/0001-09;2025-12-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.389.481/0001-79;2025-12-31;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;212;212;424;0;0;0
00.644.907/0001-93;2025-12-31;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.743.065/0001-27;2025-12-31;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.776.574/0001-56;2025-12-31;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;200244998;0;200244998;73;0;73
00.864.214/0001-06;2025-12-31;3;ENERGISA S.A.;975954372;1542412758;2518367130;829922;3319688;4149610
00.873.894/0001-24;2025-12-31;1;LETS RENT A CAR S/A;578986;0;578986;0;0;0
00.897.864/0001-58;2025-12-31;2;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.924.429/0001-75;2025-12-31;1;FERROVIA CENTRO-ATLANTICA S.A.;356005843;19;356005862;0;0;0
00.938.574/0001-05;2025-12-31;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.974.211/0001-25;2025-12-31;1;LINHA AMARELA S.A. - LAMSA;212000650;0;212000650;0;0;0
00.979.969/0001-56;2025-12-31;1;CAIXA ADM DIV PUB ESTADUAL SA;4069715169;0;4069715169;0;0;0
01.027.058/0001-91;2025-12-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2668174120;0;2668174120;5842;0;5842
01.083.200/0001-18;2025-12-31;1;NEOENERGIA S.A.;1213797248;0;1213797248;0;0;0
01.258.944/0001-26;2025-12-31;1;RUMO MALHA SUL S.A.;2773499242863;4219586452044;6993085694907;0;0;0
01.319.044/0001-41;2025-12-31;1;WTC AMAZONAS SUITE HOTEL S.A.;100;0;100;0;0;0
01.417.222/0001-77;2025-12-31;1;MRS LOGISTICA S.A.;187210;150767;337977;0;0;0
01.543.032/0001-04;2025-12-31;1;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;283067254;0;283067254;0;0;0
01.545.826/0001-07;2025-12-31;1;GAFISA S.A.;11162;0;11162;1646;0;1646
01.548.981/0001-79;2025-12-31;1;INVESTIMENTOS BEMGE S.A.;792;1572;2364;0;0;0
01.616.929/0001-02;2025-12-31;1;SANEAMENTO DE GOIAS SA;1866906374;648639993;2515546367;0;0;0
01.637.895/0001-32;2025-12-31;1;VOTORANTIM CIMENTOS S.A.;9225042782;300571428;9525614210;0;0;0
01.838.723/0001-27;2025-12-31;1;BRF S.A.;1592192459;0;1592192459;0;0;0
01.851.771/0001-55;2025-12-31;1;524 PARTICIPACOES S.A.;30116536859;0;30116536859;0;0;0
01.896.779/0001-38;2025-12-31;1;CSU DIGITAL S.A.;41800;0;41800;451;0;451
01.917.818/0001-36;2025-12-31;1;LIGHT ENERGIA S.A.;81503425;0;81503425;77421581;0;77421581
01.938.783/0001-11;2025-12-31;1;CIA PARTICIPACOES ALIANCA DA BAHIA;9317262;8821712;18138974;0;0;0
01.957.772/0001-89;2025-12-31;1;SUL 116 PARTICIPACOES S.A.;83596903;0;83596903;0;0;0
01.968.293/0001-68;2025-12-31;1;ELETRORIVER S.A.;30829941;30829941;61659882;0;0;0
01.989.044/0001-59;2025-12-31;1;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;1000;0;1000;0;0;0
02.016.440/0001-62;2025-12-31;1;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;1125427;0;1125427;0;0;0
02.016.507/0001-69;2025-12-31;1;AXIA ENERGIA SUL S.A.;499362292202;0;499362292202;6540876;0;6540876
02.041.460/0001-93;2025-12-31;1;V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;37964973947;0;37964973947;0;0;0
02.062.747/0001-08;2025-12-31;1;SUDESTE S.A.;7530483602362;0;7530483602362;0;0;0
02.149.205/0001-69;2025-12-31;1;PORTO SEGURO S.A.;646586;0;646586;6226;0;6226
02.171.304/0001-47;2025-12-31;1;FGR INCORPORAÇÕES S.A.;8385516;0;8385516;0;0;0
02.193.750/0001-52;2025-12-31;1;DEXXOS PARTICIPAÇÕES S.A.;116481187;6493280;122974467;1868940;406438;2275378
02.201.787/0001-85;2025-12-31;1;CEL PARTICIPAÇÕES S.A. - CELPAR;2609000;30;2609030;0;0;0
02.217.319/0001-07;2025-12-31;2;YBYRÁ CAPITAL S.A.;59452740;14495;59467235;57121260;8833;57130093
02.255.187/0001-08;2025-12-31;1;UNIFIQUE TELECOMUNICAÇÕES S.A.;399086646;0;399086646;9860102;0;9860102
02.258.422/0001-97;2025-12-31;1;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;246386;66035;312421;0;0;0
